sound,vowel,F1.20.,F1.35.,F1.50.,F1.65.,F1.80.,F2.20.,F2.35.,F2.50.,F2.65.,F2.80.,F3.20.,F3.35.,F3.50.,F3.65.,F3.80.
US,hid,390.7,408.5,416,425.7,437.6,2619,2559.6,2544.9,2589.3,2566.7,3320.2,3262.2,3183.4,3173.3,3252.7
US,head,744.4,750.9,731.9,719.8,685.3,2074.4,2063.6,2082.6,2149.7,2156.5,2763.8,2822.1,2844.8,2912.9,2921.7
US,heed,278.3,268.5,267.1,264.4,272.3,2665.3,2690.8,2695.7,2676.2,2642.9,3847.5,3848,3877.8,3792.4,3818.3
US,had,915.5,904.8,895.5,893.6,877.1,1826.1,1806.8,1822.2,1904.7,1974.5,2558,2502.4,2546.6,2674.1,2786.5
US,heed,292.2,277.1,278.9,284.7,313.6,2697.8,2714.9,2708,2713.3,2707.7,3750,3751.1,3673.5,3655,3575.7
US,head,761.5,735.7,717.5,682.5,637.5,2033.6,2050.6,2088.7,2168.7,2186,2755.1,2770.3,2805.4,2906.9,2959.8
US,hid,435.3,479,494.2,503.1,490.5,2524.6,2477.7,2459.9,2418.5,2360,3104.3,3037.1,3074.6,3057.9,3019.8
US,hid,459.7,469.6,487.8,481.8,471.7,2574.9,2559.5,2506.5,2495.2,2440.9,3134.7,3044.7,3057.1,3052.4,3098.5
US,head,772.3,760,752,743.4,736.2,2067.4,2111.3,2096.2,2112.1,2134.2,2725.8,2768.8,2810.5,2841.7,2938.5
US,heed,330.7,318,304.5,290.3,289.3,2701.1,2705.5,2712.1,2766.5,2711,3756.6,3801.8,3773.3,3801.1,3693.6
US,had,982,972.1,991.7,976.8,920.5,1865.1,1859.8,1900,1951.9,1969.2,2717.1,2643.1,2654.1,2689,2737.2
US,had,952,942.7,957.9,916.6,868.9,1827.3,1869.8,1936.1,1952.7,1974.1,2724,2769.8,2755.6,2759.9,2778.7
US,head,764.9,762.6,753.2,744.6,708.3,2039,2064.8,2068.7,2095.4,2124.9,2703.7,2767.9,2801.4,2819.9,2894
US,heed,329.2,329.3,319.7,317.2,318.7,2643.3,2661.1,2686.8,2706,2707.2,3643.8,3643.6,3704.2,3672.4,3594
US,hid,544.9,543.6,545.2,525.3,484.9,2313.2,2327,2324.3,2326.7,2318.3,2921.3,2965.3,2950.9,2981.3,2999.8
US,head,744,723.4,693.3,637.6,576.1,2059.7,2084.6,2146.6,2172.1,2175.5,2655.2,2714.2,2770.2,2869.5,2905.8
US,heed,256.7,261.5,257.7,266.8,268.8,2655.8,2688.4,2716.7,2708.5,2663.9,3841,3846.2,3848.8,3788,3660.3
US,had,967,940.6,913.7,903.5,889.6,1847.9,1830.5,1872.6,1928.4,1969.5,2487.3,2443.1,2500.7,2546.2,2578.4
US,hid,443.9,441.2,435.7,425.4,351.8,2664.8,2633,2653.5,2610.4,2504.6,3208.2,3294.8,3326.4,3295.2,3185.1
